"","s"
"1010","Acts 15:11 
 But we believe that through the grace of the LORD Jesus Christ we shall be saved, even as they. 
"
"1011","Acts 15:26 
 Men that have hazarded their lives for the name of our Lord Jesus Christ. 
"
"1012","Acts 16:18 
 And this did she many days. But Paul, being grieved, turned and said to the spirit, I command thee in the name of Jesus Christ to come out of her. And he came out the same hour. 
"
"1013","Acts 16:31 
 And they said, Believe on the Lord Jesus Christ, and thou shalt be saved, and thy house. 
"
"1014","Acts 17:3 
 Opening and alleging, that Christ must needs have suffered, and risen again from the dead; and that this Jesus, whom I preach unto you, is Christ. 
"
"1015","Acts 17:7 
 Whom Jason hath received: and these all do contrary to the decrees of Caesar, saying that there is another king, one Jesus. 
"
"1016","Acts 17:18 
 Then certain philosophers of the Epicureans, and of the Stoicks, encountered him. And some said, What will this babbler say? other some, He seemeth to be a setter forth of strange gods: because he preached unto them Jesus, and the resurrection. 
"
"1017","Acts 18:5 
 And when Silas and Timotheus were come from Macedonia, Paul was pressed in the spirit, and testified to the Jews that Jesus was Christ. 
"
"1018","Acts 18:28 
 For he mightily convinced the Jews, and that publickly, shewing by the scriptures that Jesus was Christ. 
"
"1019","Acts 19:4 
 Then said Paul, John verily baptized with the baptism of repentance, saying unto the people, that they should believe on him which should come after him, that is, on Christ Jesus. 
"
"1020","Acts 19:5 
 When they heard this, they were baptized in the name of the Lord Jesus. 
"
"1021","Acts 19:10 
 And this continued by the space of two years; so that all they which dwelt in Asia heard the word of the Lord Jesus, both Jews and Greeks. 
"
"1022","Acts 19:13 
 Then certain of the vagabond Jews, exorcists, took upon them to call over them which had evil spirits the name of the LORD Jesus, saying, We adjure you by Jesus whom Paul preacheth. 
"
"1023","Acts 19:15 
 And the evil spirit answered and said, Jesus I know, and Paul I know; but who are ye? 
"
"1024","Acts 19:17 
 And this was known to all the Jews and Greeks also dwelling at Ephesus; and fear fell on them all, and the name of the Lord Jesus was magnified. 
"
"1025","Acts 20:21 
 Testifying both to the Jews, and also to the Greeks, repentance toward God, and faith toward our Lord Jesus Christ. 
"
"1026","Acts 20:24 
 But none of these things move me, neither count I my life dear unto myself, so that I might finish my course with joy, and the ministry, which I have received of the Lord Jesus, to testify the gospel of the grace of God. 
"
"1027","Acts 20:35 
 I have shewed you all things, how that so labouring ye ought to support the weak, and to remember the words of the Lord Jesus, how he said, It is more blessed to give than to receive. 
"
"1028","Acts 21:13 
 Then Paul answered, What mean ye to weep and to break mine heart? for I am ready not to be bound only, but also to die at Jerusalem for the name of the Lord Jesus. 
"
"1029","Acts 22:8 
 And I answered, Who art thou, Lord? And he said unto me, I am Jesus of Nazareth, whom thou persecutest. 
"
"1030","Acts 25:19 
 But had certain questions against him of their own superstition, and of one Jesus, which was dead, whom Paul affirmed to be alive. 
"
"1031","Acts 26:9 
 I verily thought with myself, that I ought to do many things contrary to the name of Jesus of Nazareth. 
"
"1032","Acts 26:15 
 And I said, Who art thou, Lord? And he said, I am Jesus whom thou persecutest. 
"
"1033","Acts 28:23 
 And when they had appointed him a day, there came many to him into his lodging; to whom he expounded and testified the kingdom of God, persuading them concerning Jesus, both out of the law of Moses, and out of the prophets, from morning till evening. 
"
"1034","Acts 28:31 
 Preaching the kingdom of God, and teaching those things which concern the Lord Jesus Christ, with all confidence, no man forbidding him. 
"
"1035","Romans 1:1 
 Paul, a servant of Jesus Christ, called to be an apostle, separated unto the gospel of God, 
"
"1036","Romans 1:3 
 Concerning his Son Jesus Christ our Lord, which was made of the seed of David according to the flesh; 
"
"1037","Romans 1:6 
 Among whom are ye also the called of Jesus Christ: 
"
"1038","Romans 1:7 
 To all that be in Rome, beloved of God, called to be saints: Grace to you and peace from God our Father, and the Lord Jesus Christ. 
"
"1039","Romans 1:8 
 First, I thank my God through Jesus Christ for you all, that your faith is spoken of throughout the whole world. 
"
"1040","Romans 2:16 
 In the day when God shall judge the secrets of men by Jesus Christ according to my gospel. 
"
"1041","Romans 3:22 
 Even the righteousness of God which is by faith of Jesus Christ unto all and upon all them that believe: for there is no difference: 
"
"1042","Romans 3:24 
 Being justified freely by his grace through the redemption that is in Christ Jesus: 
"
"1043","Romans 3:26 
 To declare, I say, at this time his righteousness: that he might be just, and the justifier of him which believeth in Jesus. 
"
"1044","Romans 4:24 
 But for us also, to whom it shall be imputed, if we believe on him that raised up Jesus our Lord from the dead; 
"
"1045","Romans 5:1 
 Therefore being justified by faith, we have peace with God through our Lord Jesus Christ: 
"
"1046","Romans 5:11 
 And not only so, but we also joy in God through our Lord Jesus Christ, by whom we have now received the atonement. 
"
"1047","Romans 5:15 
 But not as the offence, so also is the free gift. For if through the offence of one many be dead, much more the grace of God, and the gift by grace, which is by one man, Jesus Christ, hath abounded unto many. 
"
"1048","Romans 5:17 
 For if by one man's offence death reigned by one; much more they which receive abundance of grace and of the gift of righteousness shall reign in life by one, Jesus Christ.) 
"
"1049","Romans 5:21 
 That as sin hath reigned unto death, even so might grace reign through righteousness unto eternal life by Jesus Christ our Lord. 
"
"1050","Romans 6:3 
 Know ye not, that so many of us as were baptized into Jesus Christ were baptized into his death? 
"
"1051","Romans 6:11 
 Likewise reckon ye also yourselves to be dead indeed unto sin, but alive unto God through Jesus Christ our Lord. 
"
"1052","Romans 6:23 
 For the wages of sin is death; but the gift of God is eternal life through Jesus Christ our Lord. 
"
"1053","Romans 7:25 
 I thank God through Jesus Christ our Lord. So then with the mind I myself serve the law of God; but with the flesh the law of sin. 
"
"1054","Romans 8:1 
 There is therefore now no condemnation to them which are in Christ Jesus, who walk not after the flesh, but after the Spirit. 
"
"1055","Romans 8:2 
 For the law of the Spirit of life in Christ Jesus hath made me free from the law of sin and death. 
"
"1056","Romans 8:11 
 But if the Spirit of him that raised up Jesus from the dead dwell in you, he that raised up Christ from the dead shall also quicken your mortal bodies by his Spirit that dwelleth in you. 
"
"1057","Romans 8:39 
 Nor height, nor depth, nor any other creature, shall be able to separate us from the love of God, which is in Christ Jesus our Lord. 
"
"1058","Romans 10:9 
 That if thou shalt confess with thy mouth the Lord Jesus, and shalt believe in thine heart that God hath raised him from the dead, thou shalt be saved. 
"
"1059","Romans 13:14 
 But put ye on the Lord Jesus Christ, and make not provision for the flesh, to fulfil the lusts thereof. 
"
"1060","Romans 14:14 
 I know, and am persuaded by the Lord Jesus, that there is nothing unclean of itself: but to him that esteemeth any thing to be unclean, to him it is unclean. 
"
"1061","Romans 15:5 
 Now the God of patience and consolation grant you to be likeminded one toward another according to Christ Jesus: 
"
"1062","Romans 15:6 
 That ye may with one mind and one mouth glorify God, even the Father of our Lord Jesus Christ. 
"
"1063","Romans 15:8 
 Now I say that Jesus Christ was a minister of the circumcision for the truth of God, to confirm the promises made unto the fathers: 
"
"1064","Romans 15:16 
 That I should be the minister of Jesus Christ to the Gentiles, ministering the gospel of God, that the offering up of the Gentiles might be acceptable, being sanctified by the Holy Ghost. 
"
"1065","Romans 15:17 
 I have therefore whereof I may glory through Jesus Christ in those things which pertain to God. 
"
"1066","Romans 15:30 
 Now I beseech you, brethren, for the Lord Jesus Christ's sake, and for the love of the Spirit, that ye strive together with me in your prayers to God for me; 
"
"1067","Romans 16:3 
 Greet Priscilla and Aquila my helpers in Christ Jesus: 
"
"1068","Romans 16:18 
 For they that are such serve not our Lord Jesus Christ, but their own belly; and by good words and fair speeches deceive the hearts of the simple. 
"
"1069","Romans 16:20 
 And the God of peace shall bruise Satan under your feet shortly. The grace of our Lord Jesus Christ be with you. Amen. 
"
"1070","Romans 16:24 
 The grace of our Lord Jesus Christ be with you all. Amen. 
"
"1071","Romans 16:25 
 Now to him that is of power to stablish you according to my gospel, and the preaching of Jesus Christ, according to the revelation of the mystery, which was kept secret since the world began, 
"
"1072","Romans 16:27 
 To God only wise, be glory through Jesus Christ for ever. Amen. 
"
"1073","1 Corinthians 1:1 
 Paul called to be an apostle of Jesus Christ through the will of God, and Sosthenes our brother, 
"
"1074","1 Corinthians 1:2 
 Unto the church of God which is at Corinth, to them that are sanctified in Christ Jesus, called to be saints, with all that in every place call upon the name of Jesus Christ our Lord, both their's and our's: 
"
"1075","1 Corinthians 1:3 
 Grace be unto you, and peace, from God our Father, and from the Lord Jesus Christ. 
"
"1076","1 Corinthians 1:4 
 I thank my God always on your behalf, for the grace of God which is given you by Jesus Christ; 
"
"1077","1 Corinthians 1:7 
 So that ye come behind in no gift; waiting for the coming of our Lord Jesus Christ: 
"
"1078","1 Corinthians 1:8 
 Who shall also confirm you unto the end, that ye may be blameless in the day of our Lord Jesus Christ. 
"
"1079","1 Corinthians 1:9 
 God is faithful, by whom ye were called unto the fellowship of his Son Jesus Christ our Lord. 
"
"1080","1 Corinthians 1:10 
 Now I beseech you, brethren, by the name of our Lord Jesus Christ, that ye all speak the same thing, and that there be no divisions among you; but that ye be perfectly joined together in the same mind and in the same judgment. 
"
"1081","1 Corinthians 1:30 
 But of him are ye in Christ Jesus, who of God is made unto us wisdom, and righteousness, and sanctification, and redemption: 
"
"1082","1 Corinthians 2:2 
 For I determined not to know any thing among you, save Jesus Christ, and him crucified. 
"
"1083","1 Corinthians 3:11 
 For other foundation can no man lay than that is laid, which is Jesus Christ. 
"
"1084","1 Corinthians 4:15 
 For though ye have ten thousand instructers in Christ, yet have ye not many fathers: for in Christ Jesus I have begotten you through the gospel. 
"
"1085","1 Corinthians 5:4 
 In the name of our Lord Jesus Christ, when ye are gathered together, and my spirit, with the power of our Lord Jesus Christ, 
"
"1086","1 Corinthians 5:5 
 To deliver such an one unto Satan for the destruction of the flesh, that the spirit may be saved in the day of the Lord Jesus. 
"
"1087","1 Corinthians 6:11 
 And such were some of you: but ye are washed, but ye are sanctified, but ye are justified in the name of the Lord Jesus, and by the Spirit of our God. 
"
"1088","1 Corinthians 8:6 
 But to us there is but one God, the Father, of whom are all things, and we in him; and one Lord Jesus Christ, by whom are all things, and we by him. 
"
"1089","1 Corinthians 9:1 
 Am I not an apostle? am I not free? have I not seen Jesus Christ our Lord? are not ye my work in the Lord? 
"
"1090","1 Corinthians 11:23 
 For I have received of the Lord that which also I delivered unto you, That the Lord Jesus the same night in which he was betrayed took bread: 
"
"1091","1 Corinthians 12:3 
 Wherefore I give you to understand, that no man speaking by the Spirit of God calleth Jesus accursed: and that no man can say that Jesus is the Lord, but by the Holy Ghost. 
"
"1092","1 Corinthians 15:31 
 I protest by your rejoicing which I have in Christ Jesus our Lord, I die daily. 
"
"1093","1 Corinthians 15:57 
 But thanks be to God, which giveth us the victory through our Lord Jesus Christ. 
"
"1094","1 Corinthians 16:22 
 If any man love not the Lord Jesus Christ, let him be Anathema Maranatha. 
"
"1095","1 Corinthians 16:23 
 The grace of our Lord Jesus Christ be with you. 
"
"1096","1 Corinthians 16:24 
 My love be with you all in Christ Jesus. Amen. 
"
"1097","2 Corinthians 1:1 
 Paul, an apostle of Jesus Christ by the will of God, and Timothy our brother, unto the church of God which is at Corinth, with all the saints which are in all Achaia: 
"
"1098","2 Corinthians 1:2 
 Grace be to you and peace from God our Father, and from the Lord Jesus Christ. 
"
"1099","2 Corinthians 1:3 
 Blessed be God, even the Father of our Lord Jesus Christ, the Father of mercies, and the God of all comfort; 
"
"1100","2 Corinthians 1:14 
 As also ye have acknowledged us in part, that we are your rejoicing, even as ye also are our's in the day of the Lord Jesus. 
"
"1101","2 Corinthians 1:19 
 For the Son of God, Jesus Christ, who was preached among you by us, even by me and Silvanus and Timotheus, was not yea and nay, but in him was yea. 
"
"1102","2 Corinthians 4:5 
 For we preach not ourselves, but Christ Jesus the Lord; and ourselves your servants for Jesus' sake. 
"
"1103","2 Corinthians 4:6 
 For God, who commanded the light to shine out of darkness, hath shined in our hearts, to give the light of the knowledge of the glory of God in the face of Jesus Christ. 
"
"1104","2 Corinthians 4:10 
 Always bearing about in the body the dying of the Lord Jesus, that the life also of Jesus might be made manifest in our body. 
"
"1105","2 Corinthians 4:11 
 For we which live are alway delivered unto death for Jesus' sake, that the life also of Jesus might be made manifest in our mortal flesh. 
"
"1106","2 Corinthians 4:14 
 Knowing that he which raised up the Lord Jesus shall raise up us also by Jesus, and shall present us with you. 
"
"1107","2 Corinthians 5:18 
 And all things are of God, who hath reconciled us to himself by Jesus Christ, and hath given to us the ministry of reconciliation; 
"
"1108","2 Corinthians 8:9 
 For ye know the grace of our Lord Jesus Christ, that, though he was rich, yet for your sakes he became poor, that ye through his poverty might be rich. 
"
"1109","2 Corinthians 11:4 
 For if he that cometh preacheth another Jesus, whom we have not preached, or if ye receive another spirit, which ye have not received, or another gospel, which ye have not accepted, ye might well bear with him. 
"
"1110","2 Corinthians 11:31 
 The God and Father of our Lord Jesus Christ, which is blessed for evermore, knoweth that I lie not. 
"
"1111","2 Corinthians 13:5 
 Examine yourselves, whether ye be in the faith; prove your own selves. Know ye not your own selves, how that Jesus Christ is in you, except ye be reprobates? 
"
"1112","2 Corinthians 13:14 
 The grace of the Lord Jesus Christ, and the love of God, and the communion of the Holy Ghost, be with you all. Amen. 
"
"1113","Galatians 1:1 
 Paul, an apostle, (not of men, neither by man, but by Jesus Christ, and God the Father, who raised him from the dead;) 
"
"1114","Galatians 1:3 
 Grace be to you and peace from God the Father, and from our Lord Jesus Christ, 
"
"1115","Galatians 1:12 
 For I neither received it of man, neither was I taught it, but by the revelation of Jesus Christ. 
"
"1116","Galatians 2:4 
 And that because of false brethren unawares brought in, who came in privily to spy out our liberty which we have in Christ Jesus, that they might bring us into bondage: 
"
"1117","Galatians 2:16 
 Knowing that a man is not justified by the works of the law, but by the faith of Jesus Christ, even we have believed in Jesus Christ, that we might be justified by the faith of Christ, and not by the works of the law: for by the works of the law shall no flesh be justified. 
"
"1118","Galatians 3:1 
 O foolish Galatians, who hath bewitched you, that ye should not obey the truth, before whose eyes Jesus Christ hath been evidently set forth, crucified among you? 
"
"1119","Galatians 3:14 
 That the blessing of Abraham might come on the Gentiles through Jesus Christ; that we might receive the promise of the Spirit through faith. 
"
"1120","Galatians 3:22 
 But the scripture hath concluded all under sin, that the promise by faith of Jesus Christ might be given to them that believe. 
"
"1121","Galatians 3:26 
 For ye are all the children of God by faith in Christ Jesus. 
"
"1122","Galatians 3:28 
 There is neither Jew nor Greek, there is neither bond nor free, there is neither male nor female: for ye are all one in Christ Jesus. 
"
"1123","Galatians 4:14 
 And my temptation which was in my flesh ye despised not, nor rejected; but received me as an angel of God, even as Christ Jesus. 
"
"1124","Galatians 5:6 
 For in Jesus Christ neither circumcision availeth any thing, nor uncircumcision; but faith which worketh by love. 
"
"1125","Galatians 6:14 
 But God forbid that I should glory, save in the cross of our Lord Jesus Christ, by whom the world is crucified unto me, and I unto the world. 
"
"1126","Galatians 6:15 
 For in Christ Jesus neither circumcision availeth any thing, nor uncircumcision, but a new creature. 
"
"1127","Galatians 6:17 
 From henceforth let no man trouble me: for I bear in my body the marks of the Lord Jesus. 
"
"1128","Galatians 6:18 
 Brethren, the grace of our Lord Jesus Christ be with your spirit. Amen. 
"
"1129","Ephesians 1:1 
 Paul, an apostle of Jesus Christ by the will of God, to the saints which are at Ephesus, and to the faithful in Christ Jesus: 
"
"1130","Ephesians 1:2 
 Grace be to you, and peace, from God our Father, and from the Lord Jesus Christ. 
"
"1131","Ephesians 1:3 
 Blessed be the God and Father of our Lord Jesus Christ, who hath blessed us with all spiritual blessings in heavenly places in Christ: 
"
"1132","Ephesians 1:5 
 Having predestinated us unto the adoption of children by Jesus Christ to himself, according to the good pleasure of his will, 
"
"1133","Ephesians 1:15 
 Wherefore I also, after I heard of your faith in the Lord Jesus, and love unto all the saints, 
"
"1134","Ephesians 1:17 
 That the God of our Lord Jesus Christ, the Father of glory, may give unto you the spirit of wisdom and revelation in the knowledge of him: 
"
"1135","Ephesians 2:6 
 And hath raised us up together, and made us sit together in heavenly places in Christ Jesus: 
"
"1136","Ephesians 2:7 
 That in the ages to come he might shew the exceeding riches of his grace in his kindness toward us through Christ Jesus. 
"
"1137","Ephesians 2:10 
 For we are his workmanship, created in Christ Jesus unto good works, which God hath before ordained that we should walk in them. 
"
"1138","Ephesians 2:13 
 But now in Christ Jesus ye who sometimes were far off are made nigh by the blood of Christ. 
"
"1139","Ephesians 2:20 
 And are built upon the foundation of the apostles and prophets, Jesus Christ himself being the chief corner stone; 
"
"1140","Ephesians 3:1 
 For this cause I Paul, the prisoner of Jesus Christ for you Gentiles, 
"
"1141","Ephesians 3:9 
 And to make all men see what is the fellowship of the mystery, which from the beginning of the world hath been hid in God, who created all things by Jesus Christ: 
"
"1142","Ephesians 3:11 
 According to the eternal purpose which he purposed in Christ Jesus our Lord: 
"
"1143","Ephesians 3:14 
 For this cause I bow my knees unto the Father of our Lord Jesus Christ, 
"
"1144","Ephesians 3:21 
 Unto him be glory in the church by Christ Jesus throughout all ages, world without end. Amen. 
"
"1145","Ephesians 4:21 
 If so be that ye have heard him, and have been taught by him, as the truth is in Jesus: 
"
"1146","Ephesians 5:20 
 Giving thanks always for all things unto God and the Father in the name of our Lord Jesus Christ; 
"
"1147","Ephesians 6:23 
 Peace be to the brethren, and love with faith, from God the Father and the Lord Jesus Christ. 
"
"1148","Ephesians 6:24 
 Grace be with all them that love our Lord Jesus Christ in sincerity. Amen. 
"
"1149","Philippians 1:1 
 Paul and Timotheus, the servants of Jesus Christ, to all the saints in Christ Jesus which are at Philippi, with the bishops and deacons: 
"
"1150","Philippians 1:2 
 Grace be unto you, and peace, from God our Father, and from the Lord Jesus Christ. 
"
"1151","Philippians 1:6 
 Being confident of this very thing, that he which hath begun a good work in you will perform it until the day of Jesus Christ: 
"
"1152","Philippians 1:8 
 For God is my record, how greatly I long after you all in the bowels of Jesus Christ. 
"
"1153","Philippians 1:11 
 Being filled with the fruits of righteousness, which are by Jesus Christ, unto the glory and praise of God. 
"
"1154","Philippians 1:19 
 For I know that this shall turn to my salvation through your prayer, and the supply of the Spirit of Jesus Christ, 
"
"1155","Philippians 1:26 
 That your rejoicing may be more abundant in Jesus Christ for me by my coming to you again. 
"
"1156","Philippians 2:5 
 Let this mind be in you, which was also in Christ Jesus: 
"
"1157","Philippians 2:10 
 That at the name of Jesus every knee should bow, of things in heaven, and things in earth, and things under the earth; 
"
"1158","Philippians 2:11 
 And that every tongue should confess that Jesus Christ is Lord, to the glory of God the Father. 
"
"1159","Philippians 2:19 
 But I trust in the Lord Jesus to send Timotheus shortly unto you, that I also may be of good comfort, when I know your state. 
"
"1160","Philippians 2:21 
 For all seek their own, not the things which are Jesus Christ's. 
"
"1161","Philippians 3:3 
 For we are the circumcision, which worship God in the spirit, and rejoice in Christ Jesus, and have no confidence in the flesh. 
"
"1162","Philippians 3:8 
 Yea doubtless, and I count all things but loss for the excellency of the knowledge of Christ Jesus my Lord: for whom I have suffered the loss of all things, and do count them but dung, that I may win Christ, 
"
"1163","Philippians 3:12 
 Not as though I had already attained, either were already perfect: but I follow after, if that I may apprehend that for which also I am apprehended of Christ Jesus. 
"
"1164","Philippians 3:14 
 I press toward the mark for the prize of the high calling of God in Christ Jesus. 
"
"1165","Philippians 3:20 
 For our conversation is in heaven; from whence also we look for the Saviour, the Lord Jesus Christ: 
"
"1166","Philippians 4:7 
 And the peace of God, which passeth all understanding, shall keep your hearts and minds through Christ Jesus. 
"
"1167","Philippians 4:19 
 But my God shall supply all your need according to his riches in glory by Christ Jesus. 
"
"1168","Philippians 4:21 
 Salute every saint in Christ Jesus. The brethren which are with me greet you. 
"
"1169","Philippians 4:23 
 The grace of our Lord Jesus Christ be with you all. Amen. 
"
"1170","Colossians 1:1 
 Paul, an apostle of Jesus Christ by the will of God, and Timotheus our brother, 
"
"1171","Colossians 1:2 
 To the saints and faithful brethren in Christ which are at Colosse: Grace be unto you, and peace, from God our Father and the Lord Jesus Christ. 
"
"1172","Colossians 1:3 
 We give thanks to God and the Father of our Lord Jesus Christ, praying always for you, 
"
"1173","Colossians 1:4 
 Since we heard of your faith in Christ Jesus, and of the love which ye have to all the saints, 
"
"1174","Colossians 1:28 
 Whom we preach, warning every man, and teaching every man in all wisdom; that we may present every man perfect in Christ Jesus: 
"
"1175","Colossians 2:6 
 As ye have therefore received Christ Jesus the Lord, so walk ye in him: 
"
"1176","Colossians 3:17 
 And whatsoever ye do in word or deed, do all in the name of the Lord Jesus, giving thanks to God and the Father by him. 
"
"1177","Colossians 4:11 
 And Jesus, which is called Justus, who are of the circumcision. These only are my fellowworkers unto the kingdom of God, which have been a comfort unto me. 
"
"1178","1 Thessalonians 1:1 
 Paul, and Silvanus, and Timotheus, unto the church of the Thessalonians which is in God the Father and in the Lord Jesus Christ: Grace be unto you, and peace, from God our Father, and the Lord Jesus Christ. 
"
"1179","1 Thessalonians 1:3 
 Remembering without ceasing your work of faith, and labour of love, and patience of hope in our Lord Jesus Christ, in the sight of God and our Father; 
"
"1180","1 Thessalonians 1:10 
 And to wait for his Son from heaven, whom he raised from the dead, even Jesus, which delivered us from the wrath to come. 
"
"1181","1 Thessalonians 2:14 
 For ye, brethren, became followers of the churches of God which in Judaea are in Christ Jesus: for ye also have suffered like things of your own countrymen, even as they have of the Jews: 
"
"1182","1 Thessalonians 2:15 
 Who both killed the Lord Jesus, and their own prophets, and have persecuted us; and they please not God, and are contrary to all men: 
"
"1183","1 Thessalonians 2:19 
 For what is our hope, or joy, or crown of rejoicing? Are not even ye in the presence of our Lord Jesus Christ at his coming? 
"
"1184","1 Thessalonians 3:11 
 Now God himself and our Father, and our Lord Jesus Christ, direct our way unto you. 
"
"1185","1 Thessalonians 3:13 
 To the end he may stablish your hearts unblameable in holiness before God, even our Father, at the coming of our Lord Jesus Christ with all his saints. 
"
"1186","1 Thessalonians 4:1 
 Furthermore then we beseech you, brethren, and exhort you by the Lord Jesus, that as ye have received of us how ye ought to walk and to please God, so ye would abound more and more. 
"
"1187","1 Thessalonians 4:2 
 For ye know what commandments we gave you by the Lord Jesus. 
"
"1188","1 Thessalonians 4:14 
 For if we believe that Jesus died and rose again, even so them also which sleep in Jesus will God bring with him. 
"
"1189","1 Thessalonians 5:9 
 For God hath not appointed us to wrath, but to obtain salvation by our Lord Jesus Christ, 
"
"1190","1 Thessalonians 5:18 
 In every thing give thanks: for this is the will of God in Christ Jesus concerning you. 
"
"1191","1 Thessalonians 5:23 
 And the very God of peace sanctify you wholly; and I pray God your whole spirit and soul and body be preserved blameless unto the coming of our Lord Jesus Christ. 
"
"1192","1 Thessalonians 5:28 
 The grace of our Lord Jesus Christ be with you. Amen. 
"
"1193","2 Thessalonians 1:1 
 Paul, and Silvanus, and Timotheus, unto the church of the Thessalonians in God our Father and the Lord Jesus Christ: 
"
"1194","2 Thessalonians 1:2 
 Grace unto you, and peace, from God our Father and the Lord Jesus Christ. 
"
"1195","2 Thessalonians 1:7 
 And to you who are troubled rest with us, when the Lord Jesus shall be revealed from heaven with his mighty angels, 
"
"1196","2 Thessalonians 1:8 
 In flaming fire taking vengeance on them that know not God, and that obey not the gospel of our Lord Jesus Christ: 
"
"1197","2 Thessalonians 1:12 
 That the name of our Lord Jesus Christ may be glorified in you, and ye in him, according to the grace of our God and the Lord Jesus Christ. 
"
"1198","2 Thessalonians 2:1 
 Now we beseech you, brethren, by the coming of our Lord Jesus Christ, and by our gathering together unto him, 
"
"1199","2 Thessalonians 2:14 
 Whereunto he called you by our gospel, to the obtaining of the glory of our Lord Jesus Christ. 
"
"1200","2 Thessalonians 2:16 
 Now our Lord Jesus Christ himself, and God, even our Father, which hath loved us, and hath given us everlasting consolation and good hope through grace, 
"
"1201","2 Thessalonians 3:6 
 Now we command you, brethren, in the name of our Lord Jesus Christ, that ye withdraw yourselves from every brother that walketh disorderly, and not after the tradition which he received of us. 
"
"1202","2 Thessalonians 3:12 
 Now them that are such we command and exhort by our Lord Jesus Christ, that with quietness they work, and eat their own bread. 
"
"1203","2 Thessalonians 3:18 
 The grace of our Lord Jesus Christ be with you all. Amen. 
"
"1204","1 Timothy 1:1 
 Paul, an apostle of Jesus Christ by the commandment of God our Saviour, and Lord Jesus Christ, which is our hope; 
"
"1205","1 Timothy 1:2 
 Unto Timothy, my own son in the faith: Grace, mercy, and peace, from God our Father and Jesus Christ our Lord. 
"
"1206","1 Timothy 1:12 
 And I thank Christ Jesus our Lord, who hath enabled me, for that he counted me faithful, putting me into the ministry; 
"
"1207","1 Timothy 1:14 
 And the grace of our Lord was exceeding abundant with faith and love which is in Christ Jesus. 
"
"1208","1 Timothy 1:15 
 This is a faithful saying, and worthy of all acceptation, that Christ Jesus came into the world to save sinners; of whom I am chief. 
"
"1209","1 Timothy 1:16 
 Howbeit for this cause I obtained mercy, that in me first Jesus Christ might shew forth all longsuffering, for a pattern to them which should hereafter believe on him to life everlasting. 
"
"1210","1 Timothy 2:5 
 For there is one God, and one mediator between God and men, the man Christ Jesus; 
"
"1211","1 Timothy 3:13 
 For they that have used the office of a deacon well purchase to themselves a good degree, and great boldness in the faith which is in Christ Jesus. 
"
"1212","1 Timothy 4:6 
 If thou put the brethren in remembrance of these things, thou shalt be a good minister of Jesus Christ, nourished up in the words of faith and of good doctrine, whereunto thou hast attained. 
"
"1213","1 Timothy 5:21 
 I charge thee before God, and the Lord Jesus Christ, and the elect angels, that thou observe these things without preferring one before another, doing nothing by partiality. 
"
"1214","1 Timothy 6:3 
 If any man teach otherwise, and consent not to wholesome words, even the words of our Lord Jesus Christ, and to the doctrine which is according to godliness; 
"
"1215","1 Timothy 6:13 
 I give thee charge in the sight of God, who quickeneth all things, and before Christ Jesus, who before Pontius Pilate witnessed a good confession; 
"
"1216","1 Timothy 6:14 
 That thou keep this commandment without spot, unrebukable, until the appearing of our Lord Jesus Christ: 
"
"1217","2 Timothy 1:1 
 Paul, an apostle of Jesus Christ by the will of God, according to the promise of life which is in Christ Jesus, 
"
"1218","2 Timothy 1:2 
 To Timothy, my dearly beloved son: Grace, mercy, and peace, from God the Father and Christ Jesus our Lord. 
"
"1219","2 Timothy 1:9 
 Who hath saved us, and called us with an holy calling, not according to our works, but according to his own purpose and grace, which was given us in Christ Jesus before the world began, 
"
"1220","2 Timothy 1:10 
 But is now made manifest by the appearing of our Saviour Jesus Christ, who hath abolished death, and hath brought life and immortality to light through the gospel: 
"
"1221","2 Timothy 1:13 
 Hold fast the form of sound words, which thou hast heard of me, in faith and love which is in Christ Jesus. 
"
"1222","2 Timothy 2:1 
 Thou therefore, my son, be strong in the grace that is in Christ Jesus. 
"
"1223","2 Timothy 2:3 
 Thou therefore endure hardness, as a good soldier of Jesus Christ. 
"
"1224","2 Timothy 2:8 
 Remember that Jesus Christ of the seed of David was raised from the dead according to my gospel: 
"
"1225","2 Timothy 2:10 
 Therefore I endure all things for the elect's sakes, that they may also obtain the salvation which is in Christ Jesus with eternal glory. 
"
"1226","2 Timothy 3:12 
 Yea, and all that will live godly in Christ Jesus shall suffer persecution. 
"
"1227","2 Timothy 3:15 
 And that from a child thou hast known the holy scriptures, which are able to make thee wise unto salvation through faith which is in Christ Jesus. 
"
"1228","2 Timothy 4:1 
 I charge thee therefore before God, and the Lord Jesus Christ, who shall judge the quick and the dead at his appearing and his kingdom; 
"
"1229","2 Timothy 4:22 
 The Lord Jesus Christ be with thy spirit. Grace be with you. Amen. 
"
"1230","Titus 1:1 
 Paul, a servant of God, and an apostle of Jesus Christ, according to the faith of God's elect, and the acknowledging of the truth which is after godliness; 
"
"1231","Titus 1:4 
 To Titus, mine own son after the common faith: Grace, mercy, and peace, from God the Father and the Lord Jesus Christ our Saviour. 
"
"1232","Titus 2:13 
 Looking for that blessed hope, and the glorious appearing of the great God and our Saviour Jesus Christ; 
"
"1233","Titus 3:6 
 Which he shed on us abundantly through Jesus Christ our Saviour; 
"
"1234","Philemon 1:1 
 Paul, a prisoner of Jesus Christ, and Timothy our brother, unto Philemon our dearly beloved, and fellowlabourer, 
"
